day,course_code,roll
1,EEE 1217,1807051
1,EEE 1217,1807053
1,EEE 1217,1807110
1,EEE 1217,1807111
1,EEE 1217,1807119
1,EEE 1217,1707035
1,EEE 1217,1707059
1,EEE 1217,1707088
1,EEE 1217,1707096
1,EEE 1217,1707108
1,EEE 1217,1707118
1,EEE 1217,1607001
1,EEE 1217,1607006
1,EEE 1217,1607008
1,EEE 1217,1607012
1,EEE 1217,1607026
1,EEE 1217,1607036
1,EEE 1217,1607049
1,EEE 1217,1607064
1,EEE 1217,1607074
1,EEE 1217,1507061
1,EEE 1217,1507073
1,EEE 1217,1507089
1,EEE 1217,1507099
1,EEE 1217,1507101
1,EEE 1217,1507120
1,EEE 1217,1107014
1,CSE 2207,1607024
1,CSE 2207,1407014
1,CSE 4239,1207018
1,CSE 4239,1207022
1,CSE 3201,1607083
1,CSE 3119,1607112
1,ECE 3215,1307035
1,HUM 3227,1607111
1,CSE 4105,1407026
1,CSE 4127,1607070
1,CSE 4225,1507025
1,CSE 1107,1707057
2,MATH 1207,1807051
2,MATH 1207,1807111
2,MATH 1207,1807119
2,MATH 1207,1707073
2,MATH 1207,1707074
2,MATH 1207,1707088
2,MATH 1207,1707111
2,MATH 1207,1607008
2,MATH 1207,1607036
2,MATH 1207,1607050
2,MATH 1207,1607051
2,MATH 1207,1507017
2,MATH 1207,1507036
2,MATH 1207,1507061
2,MATH 1207,1507073
2,MATH 1207,1507089
2,MATH 1207,1507120
2,MATH 1207,1407026
2,MATH 1207,1107014
2,CSE 2203,1707021
2,CSE 2203,1707028
2,CSE 2203,1707037
2,CSE 2203,1707059
2,CSE 2203,1707075
2,CSE 2203,1707077
2,CSE 2203,1707081
2,CSE 2203,1707089
2,CSE 2203,1707096
2,CSE 2203,1707097
2,CSE 2203,1707108
2,CSE 2203,1707112
2,CSE 2203,1607013
2,CSE 2203,1607024
2,CSE 2203,1507101
2,CSE 3211,1607074
2,CSE 3211,1607083
2,CSE 3211,1607111
2,CSE 3211,1507115
2,HUM 2207,1407014
3,PHY 1107,1907025
3,PHY 1107,1707021
3,PHY 1107,1707048
3,PHY 1107,1707057
3,PHY 1107,1707059
3,PHY 1107,1707064
3,PHY 1107,1707071
3,PHY 1107,1707074
3,PHY 1107,1707084
3,PHY 1107,1707088
3,PHY 1107,1707089
3,PHY 1107,1707098
3,PHY 1107,1707119
3,PHY 1107,1607049
3,PHY 1107,1607064
3,PHY 1107,1507099
3,MATH 2107,1707118
3,MATH 2107,1607002
3,MATH 2107,1607015
3,MATH 2107,1507021
3,MATH 2107,1507036
3,MATH 2107,1407026
3,MATH 2107,1207018
3,MATH 2107,1207052
3,MATH 2107,1107050
3,CSE 4223,1507120
3,CSE 4223,1407014
3,ECE 3115,1607083
3,ECE 3115,1107014
4,MATH 1107,1807066
4,MATH 1107,1807110
4,MATH 1107,1807121
4,MATH 1107,1707057
4,MATH 1107,1707073
4,MATH 1107,1707111
4,MATH 1107,1607012
4,MATH 1107,1607015
4,MATH 1107,1607024
4,MATH 1107,1607049
4,MATH 1107,1607064
4,MATH 1107,1507120
4,CSE 2201,1707021
4,CSE 2201,1707097
4,CSE 2201,1707112
4,CSE 2201,1607002
4,CSE 2201,1607026
4,CSE 2201,1507101
4,CSE 2201,1207018
4,CSE 2201,1107014
4,CSE 2105,1707050
4,CSE 2105,1707096
4,CSE 2105,1707118
4,CSE 2105,1607050
4,CSE 2105,1507021
4,CSE 2105,1407014
4,CSE 3207,1707035
4,CSE 3207,1607083
4,CSE 3207,1507017
4,CSE 3207,1507115
4,CSE 3207,1207022
4,CSE 3207,1107050
5,MATH 2207,1707021
5,MATH 2207,1707028
5,MATH 2207,1707088
5,MATH 2207,1707112
5,MATH 2207,1607002
5,MATH 2207,1607015
5,MATH 2207,1607120
5,MATH 2207,1507073
5,MATH 2207,1407026
5,MATH 2207,1207052
5,CHEM 1207,1807051
5,CHEM 1207,1807053
5,CHEM 1207,1807111
5,CHEM 1207,1707071
5,CHEM 1207,1707111
5,CHEM 1207,1607049
5,CHEM 1207,1607064
5,CHEM 1207,1507061
5,CHEM 1207,1507089
5,EEE 2113,1707050
5,EEE 2113,1507021
5,EEE 2113,1507099
5,EEE 2113,1207018
5,EEE 2217,1307035
5,EEE 2217,1207022
5,EEE 2217,1107050
6,CSE 2113,1707050
6,CSE 2113,1707096
6,CSE 2113,1707112
6,CSE 2113,1607050
6,CSE 2113,1607074
6,CSE 2113,1507021
6,CSE 2113,1507025
6,CSE 1203,1807051
6,CSE 1203,1807053
6,CSE 1203,1807111
6,CSE 1203,1807119
6,CSE 1203,1707071
6,CSE 1203,1707111
6,CSE 1203,1507061
6,CSE 3101,1607002
6,CSE 3101,1607015
6,CSE 3101,1507101
6,CSE 3101,1507115
6,CSE 3101,1207022
6,CSE 3101,1107005
6,CSE 3101,1107050
7,EEE 1107,1907025
7,EEE 1107,1807104
7,EEE 1107,1807119
7,EEE 1107,1707057
7,EEE 1107,1707071
7,EEE 1107,1607074
7,CSE 1201,1807110
7,CSE 1201,1607012
7,CSE 1201,1607024
7,CSE 1201,1607050
7,CSE 1201,1507036
7,CSE 1201,1507073
8,CSE 2101,1707050
8,CSE 2101,1707118
8,CSE 2101,1607012
