,roll,course_code,credit
1,1907025,"EEE 1107,PHY 1107",6.0
8,1807121,MATH 1107,3.0
3,1807119,"EEE 1107,CSE 1203,EEE 1217,MATH 1207",12.0
30,1807111,"CHEM 1207,CSE 1203,EEE 1217,MATH 1207",12.0
7,1807110,"MATH 1107,CSE 1201,EEE 1217,CSE 1202",10.5
2,1807104,EEE 1107,3.0
6,1807066,MATH 1107,3.0
29,1807053,"CHEM 1207,CSE 1203,EEE 1217,EEE 1218",9.75
28,1807051,"CHEM 1207,CSE 1203,EEE 1217,MATH 1207",12.0
26,1707119,PHY 1107,3.0
39,1707118,"EEE 1217,CSE 2101,CSE 2105,MATH 2107",12.0
53,1707112,"CSE 2113,CSE 2201,CSE 2203,MATH 2207",12.0
10,1707111,"MATH 1107,CHEM 1207,CSE 1203,MATH 1207",12.0
38,1707108,"EEE 1217,CSE 2203",6.0
25,1707098,PHY 1107,3.0
59,1707097,"CSE 2201,CSE 2203",6.0
37,1707096,"EEE 1217,CSE 2105,CSE 2113,CSE 2203",12.0
24,1707089,"PHY 1107,CSE 2203",6.0
23,1707088,"PHY 1107,EEE 1217,MATH 1207,MATH 2207",12.0
22,1707084,PHY 1107,3.0
64,1707081,CSE 2203,3.0
63,1707077,CSE 2203,3.0
62,1707075,CSE 2203,3.0
21,1707074,"PHY 1107,MATH 1207",6.0
9,1707073,"MATH 1107,MATH 1207",6.0
4,1707071,"EEE 1107,PHY 1107,CHEM 1207,CSE 1203",12.0
20,1707064,PHY 1107,3.0
19,1707059,"PHY 1107,EEE 1217,CSE 2203",9.0
0,1707057,"CSE 1107,EEE 1107,MATH 1107,PHY 1107",12.0
50,1707050,"CSE 2101,CSE 2105,CSE 2113,EEE 2113",12.0
18,1707048,PHY 1107,3.0
61,1707037,CSE 2203,3.0
36,1707035,"EEE 1217,CSE 3207",6.0
60,1707028,"CSE 2203,MATH 2207",6.0
17,1707021,"PHY 1107,CSE 2201,CSE 2203,MATH 2207",12.0
68,1607120,MATH 2207,3.0
71,1607112,CSE 3119,3.0
73,1607111,"CSE 3211,HUM 3227",6.0
72,1607083,"ECE 3115,CSE 3201,CSE 3207,CSE 3211",12.0
5,1607074,"EEE 1107,EEE 1217,CSE 2113,CSE 3211",12.0
74,1607070,CSE 4127,3.0
15,1607064,"MATH 1107,PHY 1107,CHEM 1207,EEE 1217",12.0
47,1607051,"MATH 1207,CSE 2102",4.5
33,1607050,"CSE 1201,MATH 1207,CSE 2105,CSE 2113",12.0
14,1607049,"MATH 1107,PHY 1107,CHEM 1207,EEE 1217",12.0
44,1607036,"EEE 1217,MATH 1207",6.0
43,1607026,"EEE 1217,CSE 2201",6.0
13,1607024,"MATH 1107,CSE 1201,CSE 2203,CSE 2207",12.0
12,1607015,"MATH 1107,MATH 2107,MATH 2207,CSE 3101",12.0
65,1607013,CSE 2203,3.0
11,1607012,"MATH 1107,CSE 1201,EEE 1217,CSE 2101",12.0
42,1607008,"EEE 1217,MATH 1207",6.0
41,1607006,EEE 1217,3.0
56,1607002,"MATH 2107,CSE 2201,MATH 2207,CSE 3101",12.0
40,1607001,EEE 1217,3.0
16,1507120,"MATH 1107,EEE 1217,MATH 1207,CSE 4223",12.0
69,1507115,"CSE 3101,CSE 3207,CSE 3211,CSE 1202,CSE 2204",12.0
45,1507101,"EEE 1217,CSE 2201,CSE 2203,CSE 3101",12.0
27,1507099,"PHY 1107,EEE 1217,EEE 2113",9.0
32,1507089,"CHEM 1207,EEE 1217,MATH 1207",9.0
35,1507073,"CSE 1201,EEE 1217,MATH 1207,MATH 2207",12.0
31,1507061,"CHEM 1207,CSE 1203,EEE 1217,MATH 1207",12.0
34,1507036,"CSE 1201,MATH 1207,MATH 2107,EEE 2114",10.5
54,1507025,"CSE 2113,CSE 4225",6.0
51,1507021,"CSE 2105,CSE 2113,EEE 2113,MATH 2107",12.0
48,1507017,"MATH 1207,CSE 3207",6.0
49,1407026,"MATH 1207,MATH 2107,MATH 2207,CSE 4105",12.0
52,1407014,"CSE 2105,CSE 2207,HUM 2207,CSE 4223",12.0
66,1307035,"EEE 2217,ECE 3215",6.0
57,1207052,"MATH 2107,MATH 2207",6.0
67,1207022,"EEE 2217,CSE 3101,CSE 3207,CSE 4239",11.0
55,1207018,"EEE 2113,MATH 2107,CSE 2201,CSE 4239",12.0
58,1107050,"MATH 2107,EEE 2217,CSE 3101,CSE 3207",11.0
46,1107014,"EEE 1217,MATH 1207,CSE 2201,ECE 3115",12.0
70,1107005,"CSE 3101,ECE 3116",2.75
